sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_2.in,2,1024,20,5,0.000847,0.000045,"[0.000918, 0.000794, 0.000844, 0.000836, 0.000844]"
bitonic_parallel,in_2.in,2,2048,20,5,0.000846,0.000093,"[0.000795, 0.000972, 0.000833, 0.000897, 0.000731]"
bitonic_parallel,in_2.in,2,4096,20,5,0.000757,0.000035,"[0.000742, 0.000803, 0.000735, 0.000784, 0.000719]"
bitonic_parallel,in_2.in,2,1024,40,5,0.001742,0.000049,"[0.001751, 0.001739, 0.001812, 0.001737, 0.001673]"
bitonic_parallel,in_2.in,2,2048,40,5,0.001664,0.000110,"[0.001822, 0.001516, 0.001631, 0.001675, 0.001675]"
bitonic_parallel,in_2.in,2,4096,40,5,0.001720,0.000111,"[0.001816, 0.001665, 0.001655, 0.001859, 0.001603]"
bitonic_parallel,in_4.in,4,1024,1,5,0.000012,0.000007,"[7e-06, 6e-06, 1e-05, 1.5e-05, 2.2e-05]"
bitonic_parallel,in_4.in,4,2048,1,5,0.000011,0.000003,"[1.6e-05, 8e-06, 1.2e-05, 9e-06, 9e-06]"
bitonic_parallel,in_4.in,4,4096,1,5,0.000016,0.000008,"[1.5e-05, 9e-06, 2.6e-05, 2.2e-05, 9e-06]"
bitonic_parallel,in_4.in,4,1024,2,5,0.000145,0.000040,"[0.000182, 0.000187, 0.000145, 0.000106, 0.000105]"
bitonic_parallel,in_4.in,4,2048,2,5,0.000144,0.000039,"[0.000182, 0.000178, 0.000103, 0.000152, 0.000104]"
bitonic_parallel,in_4.in,4,4096,2,5,0.000136,0.000041,"[0.000169, 9.4e-05, 0.000161, 0.000169, 8.9e-05]"
bitonic_parallel,in_4.in,4,1024,5,5,0.000271,0.000065,"[0.000229, 0.000274, 0.000289, 0.000367, 0.000196]"
bitonic_parallel,in_4.in,4,2048,5,5,0.000243,0.000044,"[0.000288, 0.000292, 0.000228, 0.000201, 0.000205]"
bitonic_parallel,in_4.in,4,4096,5,5,0.000274,0.000057,"[0.000214, 0.000298, 0.00021, 0.000324, 0.000322]"
bitonic_parallel,in_4.in,4,1024,10,5,0.000522,0.000046,"[0.000458, 0.000519, 0.000589, 0.000523, 0.000523]"
bitonic_parallel,in_4.in,4,2048,10,5,0.000416,0.000030,"[0.000404, 0.000401, 0.000413, 0.000395, 0.000468]"
bitonic_parallel,in_4.in,4,4096,10,5,0.000453,0.000038,"[0.000409, 0.000472, 0.000416, 0.000477, 0.000491]"
bitonic_parallel,in_4.in,4,1024,20,5,0.000809,0.000091,"[0.000901, 0.000764, 0.000777, 0.000904, 0.000697]"
bitonic_parallel,in_4.in,4,2048,20,5,0.000858,0.000109,"[0.000747, 0.000923, 0.000736, 0.00091, 0.000974]"
bitonic_parallel,in_4.in,4,4096,20,5,0.000871,0.000060,"[0.000888, 0.000918, 0.000766, 0.00088, 0.000901]"
