sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_4.in,4,2048,2,5,0.000092,0.000032,"[0.000144, 7.9e-05, 9.7e-05, 7.6e-05, 6.3e-05]"
bitonic_parallel,in_4.in,4,4096,2,5,0.000076,0.000017,"[7e-05, 6.6e-05, 6.9e-05, 7e-05, 0.000107]"
bitonic_parallel,in_4.in,4,1024,5,5,0.000244,0.000022,"[0.000271, 0.000248, 0.00021, 0.000245, 0.000244]"
bitonic_parallel,in_4.in,4,2048,5,5,0.000395,0.000285,"[0.000227, 0.000241, 0.000895, 0.000369, 0.000244]"
bitonic_parallel,in_4.in,4,4096,5,5,0.000280,0.000080,"[0.000288, 0.000229, 0.000215, 0.000414, 0.000254]"
bitonic_parallel,in_4.in,4,1024,10,5,0.000470,0.000055,"[0.000458, 0.000441, 0.000449, 0.000433, 0.000567]"
bitonic_parallel,in_4.in,4,2048,10,5,0.000486,0.000074,"[0.000594, 0.000431, 0.000533, 0.000434, 0.00044]"
bitonic_parallel,in_4.in,4,4096,10,5,0.000445,0.000016,"[0.000467, 0.000439, 0.000448, 0.000447, 0.000424]"
bitonic_parallel,in_4.in,4,1024,20,5,0.000921,0.000081,"[0.001063, 0.000906, 0.000881, 0.000887, 0.000868]"
bitonic_parallel,in_4.in,4,2048,20,5,0.000973,0.000110,"[0.000919, 0.000879, 0.00111, 0.000883, 0.001073]"
bitonic_parallel,in_4.in,4,4096,20,5,0.001469,0.001208,"[0.000939, 0.003628, 0.000864, 0.000889, 0.001025]"
bitonic_parallel,in_4.in,4,1024,40,5,0.001911,0.000067,"[0.00195, 0.001855, 0.001839, 0.001908, 0.002001]"
bitonic_parallel,in_4.in,4,2048,40,5,0.002133,0.000470,"[0.002961, 0.001862, 0.002044, 0.001961, 0.001837]"
bitonic_parallel,in_4.in,4,4096,40,5,0.002023,0.000074,"[0.001948, 0.002054, 0.00206, 0.001944, 0.00211]"
bitonic_parallel,in_8.in,8,1024,1,5,0.000010,0.000004,"[1.7e-05, 8e-06, 8e-06, 8e-06, 8e-06]"
bitonic_parallel,in_8.in,8,2048,1,5,0.000017,0.000003,"[1.9e-05, 1.7e-05, 1.8e-05, 1.1e-05, 1.8e-05]"
bitonic_parallel,in_8.in,8,4096,1,5,0.000013,0.000007,"[8e-06, 8e-06, 1.8e-05, 9e-06, 2.3e-05]"
bitonic_parallel,in_8.in,8,1024,2,5,0.000100,0.000038,"[0.000141, 6.9e-05, 0.000141, 7.5e-05, 7.3e-05]"
bitonic_parallel,in_8.in,8,2048,2,5,0.000107,0.000049,"[7.1e-05, 0.000152, 0.000167, 6.8e-05, 7.5e-05]"
bitonic_parallel,in_8.in,8,4096,2,5,0.000086,0.000034,"[7.1e-05, 7e-05, 7.2e-05, 0.000146, 7.1e-05]"
bitonic_parallel,in_8.in,8,1024,5,5,0.000266,0.000085,"[0.000219, 0.000418, 0.000237, 0.000219, 0.000239]"
bitonic_parallel,in_8.in,8,2048,5,5,0.000272,0.000075,"[0.000218, 0.000235, 0.000402, 0.000237, 0.000266]"
bitonic_parallel,in_8.in,8,4096,5,5,0.000309,0.000084,"[0.000369, 0.000424, 0.000277, 0.000229, 0.000247]"
bitonic_parallel,in_8.in,8,1024,10,5,0.000476,0.000084,"[0.00044, 0.000421, 0.000451, 0.000442, 0.000625]"
bitonic_parallel,in_8.in,8,2048,10,5,0.000483,0.000036,"[0.000437, 0.000475, 0.000532, 0.000469, 0.000502]"
bitonic_parallel,in_8.in,8,4096,10,5,0.000547,0.000087,"[0.000497, 0.000469, 0.000486, 0.000632, 0.00065]"
bitonic_parallel,in_8.in,8,1024,20,5,0.000930,0.000096,"[0.000936, 0.000876, 0.000852, 0.001092, 0.000892]"
bitonic_parallel,in_8.in,8,2048,20,5,0.000891,0.000013,"[0.000905, 0.000902, 0.000875, 0.000881, 0.000894]"
bitonic_parallel,in_8.in,8,4096,20,5,0.000913,0.000095,"[0.001082, 0.000852, 0.000878, 0.000875, 0.000876]"
bitonic_parallel,in_8.in,8,1024,40,5,0.001912,0.000063,"[0.001961, 0.001913, 0.001985, 0.001831, 0.00187]"
bitonic_parallel,in_8.in,8,2048,40,5,0.002182,0.000468,"[0.001921, 0.001868, 0.003003, 0.002005, 0.002114]"
bitonic_parallel,in_8.in,8,4096,40,5,0.002006,0.000085,"[0.001943, 0.002071, 0.001982, 0.002117, 0.001918]"
bitonic_parallel,in_16.in,16,1024,1,5,0.000015,0.000006,"[1.1e-05, 2.5e-05, 1.2e-05, 1.5e-05, 1.2e-05]"
bitonic_parallel,in_16.in,16,2048,1,5,0.000016,0.000008,"[1.4e-05, 1.4e-05, 1.3e-05, 1.1e-05, 3e-05]"
