sort_method,input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
bitonic_parallel,in_16777216.in,16777216,65536,10,5,13.836111,0.394116,"[13.441962, 13.832833, 13.456294, 14.323805, 14.125659]"
bitonic_parallel,in_16777216.in,16777216,131072,10,5,14.536950,0.720604,"[15.244999, 13.855629, 14.522268, 13.785521, 15.276333]"
bitonic_parallel,in_16777216.in,16777216,262144,10,5,14.364254,0.624876,"[14.781254, 14.642611, 13.959164, 14.962184, 13.476059]"
bitonic_parallel,in_16777216.in,16777216,524288,10,5,14.456815,0.594773,"[14.997496, 15.114332, 13.772242, 14.411912, 13.988095]"
bitonic_parallel,in_16777216.in,16777216,1048576,10,5,15.177140,0.452919,"[14.491014, 15.233961, 15.204685, 15.191027, 15.765011]"
bitonic_parallel,in_16777216.in,16777216,2097152,10,5,15.900345,1.563931,"[17.816646, 14.489594, 17.371583, 14.875162, 14.948738]"
bitonic_parallel,in_16777216.in,16777216,4194304,10,5,19.781753,3.708243,"[22.110979, 15.972964, 22.661656, 15.490081, 22.673085]"
bitonic_parallel,in_16777216.in,16777216,8388608,10,5,26.731708,0.083333,"[26.666, 26.652445, 26.862196, 26.74373, 26.734169]"
bitonic_parallel,in_16777216.in,16777216,16777216,10,5,53.490177,0.147772,"[53.40815, 53.460832, 53.43309, 53.750912, 53.3979]"
bitonic_parallel,in_16777216.in,16777216,512,20,5,8.081565,0.245690,"[8.441275, 8.129202, 7.756045, 8.025116, 8.056187]"
bitonic_parallel,in_16777216.in,16777216,1024,20,5,8.233215,0.499195,"[8.546159, 8.125663, 7.42493, 8.696246, 8.373075]"
bitonic_parallel,in_16777216.in,16777216,2048,20,5,8.521480,0.139536,"[8.519387, 8.368419, 8.653032, 8.397515, 8.669047]"
bitonic_parallel,in_16777216.in,16777216,4096,20,5,7.995008,0.178214,"[8.207751, 8.165868, 7.825948, 7.910017, 7.865456]"
bitonic_parallel,in_16777216.in,16777216,8192,20,5,8.255291,0.111759,"[8.293969, 8.378656, 8.315429, 8.193936, 8.094466]"
bitonic_parallel,in_16777216.in,16777216,16384,20,5,8.295796,0.486405,"[8.638444, 7.696645, 8.927174, 8.085282, 8.131434]"
bitonic_parallel,in_16777216.in,16777216,32768,20,5,8.271317,0.224571,"[8.490319, 8.183758, 8.391513, 8.369094, 7.9219]"
bitonic_parallel,in_16777216.in,16777216,65536,20,5,8.147914,0.367177,"[7.748282, 8.481211, 7.77742, 8.232524, 8.500132]"
bitonic_parallel,in_16777216.in,16777216,131072,20,5,8.159288,0.370796,"[8.585879, 8.146363, 8.297681, 7.56999, 8.196529]"
bitonic_parallel,in_16777216.in,16777216,262144,20,5,8.323730,0.402490,"[8.391878, 8.747578, 7.66914, 8.509899, 8.300157]"
bitonic_parallel,in_16777216.in,16777216,524288,20,5,8.330548,0.176211,"[8.365183, 8.137718, 8.168099, 8.554203, 8.427536]"
bitonic_parallel,in_16777216.in,16777216,1048576,20,5,10.374960,0.630577,"[10.676604, 10.70755, 10.601504, 9.249188, 10.639953]"
bitonic_parallel,in_16777216.in,16777216,2097152,20,5,10.665391,1.802189,"[12.305985, 8.695382, 8.734157, 11.536751, 12.05468]"
bitonic_parallel,in_16777216.in,16777216,4194304,20,5,18.352180,3.483247,"[15.978218, 15.468479, 22.617402, 16.029179, 21.667622]"
bitonic_parallel,in_16777216.in,16777216,8388608,20,5,26.959208,0.326368,"[27.228058, 26.670898, 26.669325, 26.850455, 27.377302]"
bitonic_parallel,in_16777216.in,16777216,16777216,20,5,53.240190,0.150776,"[53.048601, 53.131277, 53.316491, 53.427822, 53.276757]"
bitonic_parallel,in_16777216.in,16777216,512,40,5,4.328344,0.196540,"[4.171061, 4.51104, 4.148289, 4.56694, 4.24439]"
bitonic_parallel,in_16777216.in,16777216,1024,40,5,4.117627,0.155077,"[4.010102, 4.186217, 3.913418, 4.305032, 4.173366]"
bitonic_parallel,in_16777216.in,16777216,2048,40,5,4.210763,0.222363,"[4.595014, 4.159084, 4.096806, 4.028728, 4.174184]"
bitonic_parallel,in_16777216.in,16777216,4096,40,5,4.158164,0.137430,"[4.082983, 3.988612, 4.265938, 4.12626, 4.327028]"
bitonic_parallel,in_16777216.in,16777216,8192,40,5,4.191862,0.106571,"[4.122416, 4.058482, 4.280358, 4.184032, 4.314024]"
bitonic_parallel,in_16777216.in,16777216,16384,40,5,4.268161,0.127973,"[4.175685, 4.159289, 4.19728, 4.443167, 4.365385]"
bitonic_parallel,in_16777216.in,16777216,32768,40,5,4.255402,0.154186,"[4.175138, 4.140976, 4.502156, 4.147776, 4.310965]"
bitonic_parallel,in_16777216.in,16777216,65536,40,5,4.202175,0.129306,"[4.106182, 4.164748, 4.228013, 4.098154, 4.413779]"
bitonic_parallel,in_16777216.in,16777216,131072,40,5,4.243155,0.122966,"[4.168719, 4.364649, 4.07156, 4.344031, 4.266815]"
bitonic_parallel,in_16777216.in,16777216,262144,40,5,4.437524,0.089502,"[4.438285, 4.33651, 4.492169, 4.365958, 4.5547]"
bitonic_parallel,in_16777216.in,16777216,524288,40,5,5.273506,0.288505,"[5.334601, 5.483981, 4.999005, 5.598663, 4.951279]"
bitonic_parallel,in_16777216.in,16777216,1048576,40,5,6.197009,0.117985,"[6.240149, 6.327358, 6.20013, 6.211722, 6.005687]"
bitonic_parallel,in_16777216.in,16777216,2097152,40,5,9.609635,1.544037,"[11.17363, 8.634347, 8.41708, 8.40583, 11.417286]"
bitonic_parallel,in_16777216.in,16777216,4194304,40,5,17.053601,3.771924,"[14.407413, 21.245002, 14.468687, 21.117264, 14.029637]"
bitonic_parallel,in_16777216.in,16777216,8388608,40,5,26.651384,0.030669,"[26.672889, 26.623898, 26.685574, 26.61517, 26.659391]"
bitonic_parallel,in_16777216.in,16777216,16777216,40,5,53.409531,0.143420,"[53.474833, 53.177355, 53.384853, 53.55606, 53.454555]"
