input_file,N,task_threshold,omp_num_threads,repetitions,mean_time,std_deviation,individual_times
in_4096.in,4096,1024,4,5,0.000835,0.000030,"[0.00082, 0.000828, 0.000824, 0.000888, 0.000814]"
in_4096.in,4096,2048,4,5,0.001210,0.000049,"[0.001185, 0.00118, 0.001183, 0.001296, 0.001205]"
in_4096.in,4096,4096,4,5,0.002032,0.000029,"[0.002035, 0.002073, 0.002004, 0.002005, 0.002041]"
in_4096.in,4096,1024,8,5,0.000846,0.000004,"[0.000845, 0.000844, 0.000843, 0.000854, 0.000846]"
in_4096.in,4096,2048,8,5,0.001196,0.000011,"[0.001188, 0.001197, 0.001204, 0.001181, 0.001209]"
in_4096.in,4096,4096,8,5,0.002025,0.000027,"[0.002064, 0.002036, 0.002023, 0.001999, 0.002001]"
in_8192.in,8192,1024,1,5,0.004354,0.000037,"[0.00439, 0.004376, 0.004337, 0.00437, 0.004297]"
in_8192.in,8192,2048,1,5,0.004343,0.000055,"[0.004402, 0.004307, 0.004371, 0.004367, 0.004266]"
in_8192.in,8192,4096,1,5,0.004368,0.000036,"[0.004427, 0.004333, 0.004371, 0.004353, 0.004357]"
in_8192.in,8192,1024,2,5,0.002556,0.000022,"[0.002553, 0.002593, 0.002542, 0.002553, 0.002538]"
in_8192.in,8192,2048,2,5,0.002550,0.000018,"[0.002547, 0.002581, 0.002545, 0.002541, 0.002534]"
in_8192.in,8192,4096,2,5,0.002545,0.000024,"[0.002577, 0.002553, 0.002545, 0.002512, 0.002537]"
in_8192.in,8192,1024,4,5,0.001987,0.000149,"[0.002094, 0.001906, 0.002092, 0.002083, 0.001762]"
in_8192.in,8192,2048,4,5,0.001745,0.000010,"[0.001732, 0.001746, 0.001744, 0.001745, 0.001759]"
in_8192.in,8192,4096,4,5,0.002620,0.000076,"[0.002753, 0.002572, 0.002583, 0.002614, 0.00258]"
in_8192.in,8192,1024,8,5,0.001588,0.000049,"[0.001667, 0.001596, 0.001564, 0.001541, 0.00157]"
in_8192.in,8192,2048,8,5,0.001760,0.000016,"[0.001759, 0.001788, 0.001747, 0.001752, 0.001754]"
in_8192.in,8192,4096,8,5,0.002602,0.000020,"[0.002628, 0.00258, 0.00261, 0.002609, 0.002583]"
in_16384.in,16384,1024,1,5,0.009721,0.000041,"[0.009787, 0.009678, 0.009705, 0.009728, 0.009705]"
in_16384.in,16384,2048,1,5,0.009804,0.000068,"[0.009917, 0.009797, 0.0098, 0.009738, 0.009768]"
in_16384.in,16384,4096,1,5,0.009809,0.000108,"[0.009998, 0.00978, 0.009769, 0.009775, 0.009724]"
in_16384.in,16384,1024,2,5,0.005643,0.000029,"[0.005669, 0.005672, 0.00565, 0.005611, 0.005615]"
in_16384.in,16384,2048,2,5,0.005629,0.000056,"[0.005716, 0.005648, 0.005582, 0.005582, 0.005617]"
in_16384.in,16384,4096,2,5,0.005724,0.000053,"[0.005776, 0.005741, 0.005703, 0.005759, 0.005643]"
in_16384.in,16384,1024,4,5,0.004481,0.000035,"[0.004532, 0.004482, 0.004493, 0.00444, 0.004457]"
in_16384.in,16384,2048,4,5,0.004378,0.000575,"[0.004871, 0.004597, 0.003777, 0.003745, 0.004899]"
in_16384.in,16384,4096,4,5,0.003790,0.000042,"[0.003855, 0.003775, 0.003739, 0.003796, 0.003785]"
in_16384.in,16384,1024,8,5,0.003470,0.000038,"[0.003511, 0.003447, 0.003512, 0.003432, 0.003448]"
in_16384.in,16384,2048,8,5,0.003325,0.000025,"[0.0033, 0.003328, 0.003366, 0.003324, 0.003309]"
in_16384.in,16384,4096,8,5,0.003804,0.000053,"[0.003893, 0.003779, 0.003772, 0.00381, 0.003766]"
in_32768.in,32768,1024,1,5,0.022535,0.000165,"[0.02254, 0.022754, 0.022296, 0.022502, 0.022582]"
in_32768.in,32768,2048,1,5,0.022515,0.000191,"[0.022531, 0.022261, 0.022659, 0.022397, 0.022729]"
in_32768.in,32768,4096,1,5,0.022100,0.000176,"[0.022307, 0.021932, 0.022168, 0.021902, 0.022193]"
in_32768.in,32768,1024,2,5,0.012666,0.000070,"[0.01277, 0.012664, 0.012597, 0.012607, 0.012692]"
in_32768.in,32768,2048,2,5,0.012567,0.000109,"[0.012604, 0.012543, 0.012696, 0.0124, 0.012593]"
in_32768.in,32768,4096,2,5,0.012670,0.000129,"[0.012874, 0.012537, 0.012625, 0.012705, 0.012609]"
in_32768.in,32768,1024,4,5,0.009502,0.000630,"[0.009935, 0.0097, 0.009741, 0.009748, 0.008388]"
in_32768.in,32768,2048,4,5,0.009772,0.000154,"[0.009995, 0.009764, 0.009559, 0.009769, 0.009773]"
in_32768.in,32768,4096,4,5,0.009070,0.001214,"[0.010695, 0.010057, 0.008195, 0.008146, 0.008255]"
in_32768.in,32768,1024,8,5,0.007439,0.000168,"[0.007683, 0.007442, 0.00723, 0.007487, 0.007355]"
in_32768.in,32768,2048,8,5,0.007490,0.000090,"[0.007629, 0.007403, 0.007522, 0.007468, 0.007427]"
in_32768.in,32768,4096,8,5,0.007769,0.000585,"[0.007253, 0.008266, 0.007021, 0.008163, 0.008143]"
in_65536.in,65536,1024,1,5,0.049071,0.000420,"[0.048794, 0.049043, 0.049746, 0.049113, 0.048658]"
in_65536.in,65536,2048,1,5,0.049725,0.000614,"[0.048986, 0.050015, 0.050358, 0.050114, 0.049154]"
in_65536.in,65536,4096,1,5,0.049201,0.000445,"[0.049818, 0.048925, 0.049017, 0.049503, 0.048743]"
in_65536.in,65536,1024,2,5,0.027845,0.000166,"[0.027716, 0.027671, 0.0278, 0.027991, 0.028045]"
in_65536.in,65536,2048,2,5,0.027808,0.000136,"[0.027939, 0.027749, 0.027872, 0.027882, 0.027599]"
in_65536.in,65536,4096,2,5,0.028028,0.000228,"[0.028247, 0.02825, 0.027784, 0.028056, 0.027805]"
in_65536.in,65536,1024,4,5,0.021419,0.000105,"[0.021545, 0.021375, 0.021312, 0.021346, 0.021516]"
in_65536.in,65536,2048,4,5,0.021528,0.000175,"[0.021637, 0.021646, 0.021296, 0.021676, 0.021383]"
in_65536.in,65536,4096,4,5,0.021341,0.000079,"[0.021253, 0.021455, 0.021328, 0.02138, 0.02129]"
in_65536.in,65536,1024,8,5,0.016011,0.000339,"[0.015566, 0.015837, 0.016266, 0.016416, 0.01597]"
in_65536.in,65536,2048,8,5,0.016021,0.000211,"[0.016397, 0.015918, 0.015905, 0.01596, 0.015926]"
in_65536.in,65536,4096,8,5,0.016054,0.000130,"[0.016162, 0.016163, 0.015937, 0.016117, 0.01589]"
in_131072.in,131072,1024,1,5,0.109290,0.000846,"[0.109517, 0.109567, 0.109734, 0.107795, 0.109838]"
in_131072.in,131072,2048,1,5,0.108837,0.000298,"[0.108816, 0.108815, 0.108501, 0.109319, 0.108736]"
in_131072.in,131072,4096,1,5,0.110219,0.001220,"[0.109045, 0.110614, 0.108964, 0.110617, 0.111857]"
in_131072.in,131072,1024,2,5,0.062708,0.002653,"[0.06154, 0.067448, 0.061318, 0.061595, 0.061638]"
in_131072.in,131072,2048,2,5,0.061318,0.000330,"[0.060995, 0.061488, 0.061528, 0.060931, 0.061647]"
in_131072.in,131072,4096,2,5,0.062643,0.001780,"[0.061766, 0.062291, 0.065785, 0.061888, 0.061486]"
in_131072.in,131072,1024,4,5,0.046852,0.000146,"[0.046884, 0.046824, 0.046988, 0.046948, 0.046616]"
in_131072.in,131072,2048,4,5,0.046673,0.000347,"[0.046843, 0.04611, 0.046849, 0.046579, 0.046984]"
in_131072.in,131072,4096,4,5,0.045245,0.003380,"[0.046579, 0.046555, 0.047254, 0.039222, 0.046616]"
in_131072.in,131072,1024,8,5,0.035165,0.000979,"[0.034371, 0.034169, 0.034886, 0.036175, 0.036222]"
in_131072.in,131072,2048,8,5,0.035592,0.001235,"[0.034583, 0.036467, 0.036628, 0.036331, 0.03395]"
in_131072.in,131072,4096,8,5,0.035082,0.000498,"[0.035319, 0.034462, 0.035787, 0.034944, 0.034898]"
in_262144.in,262144,1024,1,5,0.243431,0.002792,"[0.245873, 0.246692, 0.241088, 0.240437, 0.243063]"
in_262144.in,262144,2048,1,5,0.236599,0.002073,"[0.235778, 0.234597, 0.235283, 0.23972, 0.237619]"
in_262144.in,262144,4096,1,5,0.238460,0.002372,"[0.240389, 0.241497, 0.236134, 0.237719, 0.236563]"
in_262144.in,262144,1024,2,5,0.132350,0.000594,"[0.132533, 0.131795, 0.132237, 0.131908, 0.133279]"
in_262144.in,262144,2048,2,5,0.135021,0.005430,"[0.132076, 0.144369, 0.132455, 0.131108, 0.135097]"
in_262144.in,262144,4096,2,5,0.136175,0.006228,"[0.14712, 0.134002, 0.133464, 0.134716, 0.131575]"
